Дата операции,Номер документа,Тип документа,Контрагент,Сумма,Валюта,НДС,Счет учета,Описание операции,Ответственный сотрудник
2026-01-01,LG-01000,Прочее,IP Rare Vendor 1,2750000,KZT,0,7210,,Айгерим С.
2026-01-02,LG-01001,Акт,TOO North Office,52250,KZT,6270.0,7210,Услуги сопровождения офиса,Нурлан Т.
2026-01-03,LG-01002,Счет-фактура,TOO Metro Parts,59500,KZT,7140.0,2930,Поставка расходных материалов,Марина Ж.
2026-01-04,LG-01003,Акт,TOO City Trade,66750,KZT,8010.0,3310,Техническое обслуживание оборудования,Арман О.
2026-01-05,LG-01004,Счет-фактура,IP Audit Expert,74000,KZT,8880.0,7210,Маркетинговые услуги,Дамир К.
2026-01-06,LG-01005,Акт,TOO Vision Market,81250,KZT,9750.0,2930,Транспортные услуги,Айгерим С.
2026-01-07,LG-01006,Счет-фактура,TOO Logistic Group,88500,KZT,10620.0,3310,Закупка канцелярских товаров,Нурлан Т.
2026-01-08,LG-01007,Акт,TOO Prime Service,95750,KZT,11490.0,7210,Услуги сопровождения офиса,Марина Ж.
2026-01-09,LG-01008,Счет-фактура,TOO Delta Supplies,103000,KZT,12360.0,2930,Поставка расходных материалов,Арман О.
2026-01-10,LG-01009,Акт,TOO North Office,110250,KZT,13230.0,3310,Техническое обслуживание оборудования,Дамир К.
2026-01-11,LG-01010,Счет-фактура,TOO Metro Parts,117500,KZT,14100.0,7210,Маркетинговые услуги,Айгерим С.
2026-01-12,LG-01011,Акт,TOO City Trade,124750,KZT,14970.0,2930,Транспортные услуги,Нурлан Т.
2026-01-13,LG-01012,Счет-фактура,IP Audit Expert,132000,KZT,15840.0,3310,Закупка канцелярских товаров,Марина Ж.
2026-01-14,LG-01013,Акт,TOO Vision Market,139250,KZT,16710.0,7210,Услуги сопровождения офиса,Арман О.
2026-01-15,LG-01014,Счет-фактура,TOO Logistic Group,146500,KZT,17580.0,2930,Поставка расходных материалов,Дамир К.
2026-01-16,LG-01015,Акт,TOO Prime Service,153750,KZT,18450.0,3310,Техническое обслуживание оборудования,Айгерим С.
2026-01-17,LG-01016,Счет-фактура,TOO Delta Supplies,161000,KZT,19320.0,7210,Маркетинговые услуги,Нурлан Т.
2026-01-18,LG-01017,Акт,TOO North Office,168250,KZT,20190.0,2930,Транспортные услуги,Марина Ж.
2026-01-19,LG-01018,Счет-фактура,TOO Metro Parts,175500,KZT,21060.0,3310,Закупка канцелярских товаров,Арман О.
2026-01-20,LG-01019,Акт,TOO City Trade,182750,KZT,21930.0,7210,Услуги сопровождения офиса,Дамир К.
