Дата операции,Номер документа,Тип документа,Контрагент,Сумма,Валюта,НДС,Счет учета,Описание операции,Ответственный сотрудник
2026-03-01,INV-1001,Счет-фактура,TOO Altyn Trade,125000,KZT,15000,3310,Закупка канцелярии,Айгерим С.
2026-03-02,INV-1002,Счет-фактура,TOO Altyn Trade,121500,KZT,14580,3310,Закупка бумаги,Айгерим С.
2026-03-03,ACT-2001,Акт,IP Sapa Service,98000,KZT,11760,7210,Техподдержка офиса,Нурлан Т.
2026-03-04,INV-1004,Счет-фактура,TOO Vector Parts,450000,KZT,54000,3310,Запчасти для принтера,Дамир К.
2026-03-05,INV-1005,Счет-фактура,TOO Vector Parts,452000,KZT,54240,3310,Запчасти для принтера,Дамир К.
2026-03-06,INV-1002,Счет-фактура,TOO Altyn Trade,121500,KZT,14580,3310,Повторное проведение бумаги,Айгерим С.
2026-03-07,MISC-9001,Прочее,TOO Unknown Solutions,2800000,KZT,0,7210,Срочная корректировка вручную,Бекзат А.
2026-03-08,INV-1007,Счет-фактура,TOO Office Goods,79000,KZT,9480,3310,,Марина Ж.
2026-03-09,ACT-2002,Акт,IP Sapa Service,101000,KZT,12120,7210,Техподдержка сервера,Нурлан Т.
2026-03-10,INV-1010,Счет-фактура,TOO New Counterparty,1500000,KZT,180000,3310,Консультационные услуги,Марина Ж.
2026-03-11,INV-1011,Счет-фактура,TOO Altyn Trade,129000,KZT,15480,3310,Закупка бумаги,Айгерим С.
2026-03-12,INV-1012,Счет-фактура,TOO Metro Supply,,KZT,0,3310,Поставка расходных материалов,Арман О.

